"repo","period","date","count"
"stackflow","day","2025-05-29",2
"stackflow","day","2025-05-15",2
"stackflow","day","2025-05-12",1
"stackflow","day","2025-04-09",2
"stackflow","day","2025-03-27",2
"stackflow","day","2025-03-14",2
"stackflow","day","2025-02-24",1
"stackflow","day","2025-02-14",3
"stackflow","day","2025-01-22",5
"stackflow","day","2024-12-18",4
"stackflow","day","2024-11-19",1
"stackflow","day","2024-11-08",1
"stackflow","day","2024-10-23",1
"stackflow","day","2024-09-26",5
"stackflow","day","2024-09-11",1
"stackflow","day","2024-09-03",10
"stackflow","day","2024-08-21",1
"stackflow","day","2024-08-14",15
"stackflow","day","2024-08-08",5
"stackflow","day","2024-08-02",2
"stackflow","day","2024-07-31",12
"stackflow","day","2024-07-25",14
"stackflow","day","2024-07-24",1
"stackflow","day","2024-07-23",1
"stackflow","day","2024-07-22",14
"stackflow","day","2024-07-09",2
"stackflow","day","2024-05-28",1
"stackflow","day","2024-05-24",1
"stackflow","day","2024-05-22",2
"stackflow","day","2024-02-13",10
"stackflow","day","2024-01-30",13
"stackflow","day","2024-01-23",1
"stackflow","day","2024-01-22",1
"stackflow","day","2024-01-16",2
"stackflow","day","2023-12-22",15
"stackflow","day","2023-12-01",1
"stackflow","week","2025-W22",2
"stackflow","week","2025-W20",3
"stackflow","week","2025-W15",2
"stackflow","week","2025-W13",2
"stackflow","week","2025-W11",2
"stackflow","week","2025-W09",1
"stackflow","week","2025-W07",3
"stackflow","week","2025-W04",5
"stackflow","week","2024-W51",4
"stackflow","week","2024-W47",1
"stackflow","week","2024-W45",1
"stackflow","week","2024-W43",1
"stackflow","week","2024-W39",5
"stackflow","week","2024-W37",1
"stackflow","week","2024-W36",10
"stackflow","week","2024-W34",1
"stackflow","week","2024-W33",15
"stackflow","week","2024-W32",5
"stackflow","week","2024-W31",14
"stackflow","week","2024-W30",30
"stackflow","week","2024-W28",2
"stackflow","week","2024-W22",1
"stackflow","week","2024-W21",3
"stackflow","week","2024-W07",10
"stackflow","week","2024-W05",13
"stackflow","week","2024-W04",2
"stackflow","week","2024-W03",2
"stackflow","week","2023-W51",15
"stackflow","week","2023-W48",1
"stackflow","year","2025",20
"stackflow","year","2024",121
"stackflow","year","2023",16
"seed-design","day","2025-06-02",10
"seed-design","day","2025-05-30",22
"seed-design","day","2025-05-29",31
"seed-design","day","2025-05-21",4
"seed-design","day","2025-05-19",9
"seed-design","day","2025-05-08",9
"seed-design","day","2025-05-02",8
"seed-design","day","2025-04-28",29
"seed-design","day","2025-04-29",2
"seed-design","day","2025-04-23",10
"seed-design","day","2025-04-24",2
"seed-design","day","2025-04-22",18
"seed-design","day","2025-04-18",9
"seed-design","day","2025-04-17",9
"seed-design","day","2025-04-07",1
"seed-design","day","2025-03-25",1
"seed-design","day","2025-03-18",8
"seed-design","day","2025-03-14",16
"seed-design","day","2025-03-10",7
"seed-design","day","2025-03-05",6
"seed-design","day","2025-03-04",8
"seed-design","day","2025-02-25",31
"seed-design","day","2025-02-20",8
"seed-design","day","2025-02-19",17
"seed-design","day","2024-01-29",1
"seed-design","day","2023-07-31",1
"seed-design","day","2023-07-17",1
"seed-design","day","2023-07-05",1
"seed-design","day","2023-05-23",1
"seed-design","day","2023-04-25",1
"seed-design","day","2023-04-19",2
"seed-design","day","2023-04-14",1
"seed-design","day","2023-03-10",1
"seed-design","day","2023-03-09",1
"seed-design","day","2023-02-23",1
"seed-design","day","2023-02-21",1
"seed-design","day","2023-02-20",3
"seed-design","day","2023-02-17",2
"seed-design","day","2023-02-14",1
"seed-design","day","2023-02-13",2
"seed-design","day","2023-02-09",6
"seed-design","day","2023-01-18",2
"seed-design","day","2022-12-09",2
"seed-design","day","2022-12-08",3
"seed-design","day","2022-11-29",2
"seed-design","day","2022-11-25",4
"seed-design","day","2022-11-24",4
"seed-design","day","2022-11-18",2
"seed-design","day","2022-10-07",1
"seed-design","day","2022-03-10",1
"seed-design","day","2021-10-15",4
"seed-design","week","2025-W23",10
"seed-design","week","2025-W22",53
"seed-design","week","2025-W21",13
"seed-design","week","2025-W19",9
"seed-design","week","2025-W18",39
"seed-design","week","2025-W17",30
"seed-design","week","2025-W16",18
"seed-design","week","2025-W15",1
"seed-design","week","2025-W13",1
"seed-design","week","2025-W12",8
"seed-design","week","2025-W11",23
"seed-design","week","2025-W10",14
"seed-design","week","2025-W09",31
"seed-design","week","2025-W08",25
"seed-design","week","2024-W05",1
"seed-design","week","2023-W31",1
"seed-design","week","2023-W29",1
"seed-design","week","2023-W27",1
"seed-design","week","2023-W21",1
"seed-design","week","2023-W17",1
"seed-design","week","2023-W16",2
"seed-design","week","2023-W15",1
"seed-design","week","2023-W10",2
"seed-design","week","2023-W08",5
"seed-design","week","2023-W07",5
"seed-design","week","2023-W06",6
"seed-design","week","2023-W03",2
"seed-design","week","2022-W49",5
"seed-design","week","2022-W48",2
"seed-design","week","2022-W47",8
"seed-design","week","2022-W46",2
"seed-design","week","2022-W40",1
"seed-design","week","2022-W10",1
"seed-design","week","2021-W41",4
"seed-design","year","2025",275
"seed-design","year","2024",1
"seed-design","year","2023",28
"seed-design","year","2022",19
"seed-design","year","2021",4